reference,direction,angle_deg,rmse_d,jod_rmse,psnr_d,jod_psnr,ssim_d,jod_ssim,ssim,ms_ssim_d,jod_ms_ssim,iw_ssim_d,jod_iw_ssim,vif_d,jod_vif,fsim_d,jod_fsim,srsim_d,jod_srsim,gmsd_d,jod_gmsd,ms_gmsd_d,jod_ms_gmsd,vsi_d,jod_vsi,mdsi_d,jod_mdsi,haarpsi_d,jod_haarpsi,dss_d,jod_dss,lpips_d,jod_lpips,dists_d,jod_dists,pieapp_d,jod_pieapp
I01,clockwise,0.05,2.5235886661378424,-0.052743746708665995,0.024943883303915084,-0.07067281973892547,0.005234479904174805,0.07504491140774183,0.9947655200958252,0.00145721435546875,0.11262415220152144,0.0013614892959594727,0.18967859070135784,0.16296261548995972,0.2900424004487404,0.011202454566955566,0.5967484511643306,0.00465315580368042,0.5564456563580507,0.011876494623720646,0.41792057842306507,0.013318491168320179,0.3391610610367528,0.0015262365341186523,0.3202397720751833,0.19797979295253754,0.4325397576974343,0.022680163383483887,0.267049469414653,0.008273541927337646,0.26999825716006853,0.003182514337822795,0.043362105429389786,0.002511143684387207,0.22112183901043456,0.093260258436203,0.19281002263741265
I01,clockwise,0.1,4.691023523800148,0.27896714046459437,0.02881402432590237,0.27788320272608535,0.01718217134475708,0.1506201998665233,0.9828178286552429,0.004782438278198242,0.1721495377342901,0.004662632942199707,0.32484315655390184,0.2917937636375427,0.3603171945445048,0.03159898519515991,1.3077976111633234,0.01335519552230835,1.2689968270012741,0.029706237837672234,0.9217310898821567,0.03287185728549957,0.8031076833137036,0.004618406295776367,0.6839063414458906,0.2584284245967865,1.0021627179325414,0.06074780225753784,0.64563314582605,0.026555538177490234,0.5266932546510361,0.009154468774795532,0.05899948341459882,0.006146132946014404,0.23582859846550738,0.17302097380161285,0.3220215786429609
I01,clockwise,0.15,6.717260766396972,0.5752841516881553,0.0316586989746163,0.5757061979122597,0.035859107971191406,0.26816286620245844,0.9641408920288086,0.009374737739562988,0.2541967420303801,0.009167075157165527,0.5020923109997861,0.38347911834716797,0.477974502180435,0.05239611864089966,1.8016934198003582,0.022908508777618408,1.774743854287749,0.046400174498558044,1.3355829787990285,0.050257790833711624,1.2174319237544695,0.008305490016937256,1.0467914856481002,0.29583537578582764,1.4441780739954984,0.09402865171432495,0.9492051219550603,0.047889530658721924,0.7917069872487446,0.018277838826179504,0.08377967081818716,0.012782275676727295,0.26512242276734893,0.2388630211353302,0.4383966455933872
I01,clockwise,0.2,8.637353867703784,0.8420390481520608,0.03400995866556995,0.8415929666354132,0.060871660709381104,0.4240207589008884,0.9391283392906189,0.014820396900177002,0.35104360829485115,0.014439523220062256,0.698352178875874,0.4535830616950989,0.6380946056501657,0.07070302963256836,2.1031364793057037,0.031745314598083496,2.075186294664718,0.058888424187898636,1.6010541714525135,0.06328105181455612,1.507040958001489,0.011994481086730957,1.3457351990409734,0.3217909038066864,1.750871302832053,0.12338709831237793,1.1964251733348146,0.06855106353759766,1.0170496980381358,0.0293013583868742,0.11519219553683352,0.019482851028442383,0.2981378275313433,0.3032640516757965,0.5597949374285328
I01,clockwise,0.25,10.477896783430907,1.0837761433514244,0.036068145106920455,1.082843918959881,0.09181743860244751,0.6135376579210998,0.9081825613975525,0.02091526985168457,0.4585480179952288,0.020316660404205322,0.9021653762914541,0.5098692178726196,0.8280585415653916,0.08750438690185547,2.302348747590031,0.04013931751251221,2.263662731349882,0.06947865337133408,1.7955657808018768,0.0742432028055191,1.7277145923071162,0.015602529048919678,1.5869509337098862,0.3409479558467865,1.9610431453217234,0.1499718427658081,1.404250060963598,0.08757197856903076,1.2004801732728083,0.04057559370994568,0.14902868447507284,0.024622321128845215,0.3259709460449698,0.3531404435634613,0.6581887157053524
I01,clockwise,0.3,12.250746931283372,1.3029971813747983,0.03792542936178281,1.3023487144042063,0.1275116205215454,0.8262641068452172,0.8724883794784546,0.02759552001953125,0.5748847649330773,0.02678501605987549,1.1077777153445565,0.5563489198684692,1.0310657261955531,0.10313630104064941,2.439207742407689,0.04781240224838257,2.3806010706385905,0.07978977262973785,1.958864163668815,0.08456867188215256,1.9123957658993727,0.019089460372924805,1.7802870936779982,0.35589396953582764,2.1102170278542696,0.17298072576522827,1.572283758799518,0.10606569051742554,1.3592479547771745,0.049402981996536255,0.17675653586696588,0.02785515785217285,0.3446540105804557,0.4013751745223999,0.7562593465854116
I01,clockwise,0.35,13.954427022584834,1.5006979829700864,0.03962506858777951,1.500834116851212,0.1662638783454895,1.0484593881601594,0.8337361216545105,0.03488856554031372,0.6995932057212935,0.033909618854522705,1.3115745520851911,0.5957708954811096,1.233396030125081,0.11813050508499146,2.5378125091835955,0.05501359701156616,2.4572803644128953,0.0895417332649231,2.091202665385756,0.09430629760026932,2.064711775674626,0.022479772567749023,1.937083782877835,0.3683317005634308,2.2227977082597716,0.19391077756881714,1.715963038199508,0.12543362379074097,1.5071183812731306,0.055328771471977234,0.1959890143472272,0.02781379222869873,0.34440906589562725,0.430444598197937,0.8164429618228232
I01,clockwise,0.4,15.595087089625624,1.678943180146451,0.04120136920870971,1.6799718264549353,0.20663654804229736,1.268596784256764,0.7933634519577026,0.042925477027893066,0.833606572334125,0.041907548904418945,1.5128605539613318,0.629794180393219,1.4247301221431803,0.1324295997619629,2.6093251370548387,0.06176888942718506,2.508659911182235,0.09939833730459213,2.2050994870593708,0.10387540608644485,2.1939128118715523,0.025687098503112793,2.061716806137156,0.3787694573402405,2.308708801363124,0.2141791582107544,1.8470913920257654,0.14757835865020752,1.6558018418350002,0.060782819986343384,0.21413496824138573,0.02793341875076294,0.3451178506018119,0.4363550841808319,0.8287593527470015
I01,clockwise,0.45,17.17661172633111,1.8395236468029088,0.04267659953407124,1.8412145807462568,0.2475283145904541,1.478366012123379,0.7524716854095459,0.05190926790237427,0.9783947563321362,0.05112224817276001,1.7109430991426162,0.6597249507904053,1.6000841983798704,0.14585691690444946,2.6611435466265903,0.06802952289581299,2.5434483639606924,0.10908190160989761,2.299647793689114,0.11319778114557266,2.3012982534050908,0.028700709342956543,2.1610917847951896,0.3877081573009491,2.37600428702892,0.23445314168930054,1.970684325404573,0.17310935258865356,1.8037058060665458,0.06699828803539276,0.23533838441426175,0.027384936809539795,0.3418786845591983,0.4214019179344177,0.7976485566279427
I01,clockwise,0.5,18.697027765111464,1.983644649919463,0.04406189547973266,1.9855296202429278,0.28850841522216797,1.674268466149691,0.711491584777832,0.0621638298034668,1.1362411641334313,0.06203317642211914,1.9033608429961415,0.686555027961731,1.7580229439680921,0.15884530544281006,2.7003050257164887,0.07401168346405029,2.5681963227866618,0.11934269219636917,2.3834158889232255,0.12288663536310196,2.3952344165257093,0.03161817789077759,2.243361909934265,0.39514726400375366,2.427650106620051,0.25854307413101196,2.108129847076704,0.19928056001663208,1.9328679979200842,0.07343672215938568,0.25789596170915724,0.027172625064849854,0.3406320867937317,0.40815654397010803,0.7702358553603433
