reference,direction,rmse_thresh_dx_1jnd_px,rmse_jod_1px,rmse_jod_2px,rmse_jod_10px,psnr_thresh_dx_1jnd_px,psnr_jod_1px,psnr_jod_2px,psnr_jod_10px,ssim_thresh_dx_1jnd_px,ssim_jod_1px,ssim_jod_2px,ssim_jod_10px,ms_ssim_thresh_dx_1jnd_px,ms_ssim_jod_1px,ms_ssim_jod_2px,ms_ssim_jod_10px,iw_ssim_thresh_dx_1jnd_px,iw_ssim_jod_1px,iw_ssim_jod_2px,iw_ssim_jod_10px,vif_thresh_dx_1jnd_px,vif_jod_1px,vif_jod_2px,vif_jod_10px,fsim_thresh_dx_1jnd_px,fsim_jod_1px,fsim_jod_2px,fsim_jod_10px,srsim_thresh_dx_1jnd_px,srsim_jod_1px,srsim_jod_2px,srsim_jod_10px,gmsd_thresh_dx_1jnd_px,gmsd_jod_1px,gmsd_jod_2px,gmsd_jod_10px,ms_gmsd_thresh_dx_1jnd_px,ms_gmsd_jod_1px,ms_gmsd_jod_2px,ms_gmsd_jod_10px,vsi_thresh_dx_1jnd_px,vsi_jod_1px,vsi_jod_2px,vsi_jod_10px,mdsi_thresh_dx_1jnd_px,mdsi_jod_1px,mdsi_jod_2px,mdsi_jod_10px,haarpsi_thresh_dx_1jnd_px,haarpsi_jod_1px,haarpsi_jod_2px,haarpsi_jod_10px,dss_thresh_dx_1jnd_px,dss_jod_1px,dss_jod_2px,dss_jod_10px,lpips_thresh_dx_1jnd_px,lpips_jod_1px,lpips_jod_2px,lpips_jod_10px,dists_thresh_dx_1jnd_px,dists_jod_1px,dists_jod_2px,dists_jod_10px,pieapp_thresh_dx_1jnd_px,pieapp_jod_1px,pieapp_jod_2px,pieapp_jod_10px
I01,right,0.5169402724969624,1.9344594592518929,2.5257981919782724,2.987384625601627,0.5164383435007776,1.9363395700274806,2.518938560927943,2.944784700345861,0.9941344440101778,1.0059001637305327,2.1232640238513207,2.7496427559420225,0.7046536627369586,1.4191368794080783,2.436947463159867,2.6757900945958726,0.4758800249315846,2.101369983209037,2.5657153932290164,2.5764477488892634,0.47472329468323804,2.106490267487834,2.5674491963663177,2.775896884788784,0.44294419956842807,2.257620713792676,2.7028989643904424,2.8331310227581525,0.4515480753844365,2.2146036147947825,2.5778731238923456,2.6388822180578018,0.42401334585728184,2.3584163323401355,2.6328779822916535,2.7233805358192655,0.42405584380145417,2.358179977041436,2.6717523678401998,2.7785321955733417,0.5184143435990152,1.9289589733525645,2.52715627769976,2.732636596620523,0.5037375353695037,1.9851607827208582,2.4848754561679924,2.7874672905084954,0.45981844966500585,2.1747713705888394,2.830872469578548,3.300535849583177,0.5619634767895352,1.7794750749869763,2.4079819195821983,2.6257117255565845,4.576906334926424,0.2674266244773485,0.5091739380331082,1.615991297997404,39.99616934361648,0.29135438729953844,0.35433846198134056,0.5767727961079431,9.64837957330619,0.42722333991940886,0.41520773608301187,1.05681958375171
I01,left,0.5169402724969624,1.9344594592518929,2.5257981919782724,2.987384625601627,0.5164383435007776,1.9363395700274806,2.518938560927943,2.944784700345861,0.9941344440101778,1.0059001637305327,2.1232640238513207,2.7496427559420225,0.7046536627369586,1.4191368794080783,2.436947463159867,2.6757900945958726,0.47594081935419014,2.1011015641753783,2.5656947872473257,2.576447744499575,0.4747636911257355,2.106311031555195,2.567278659094062,2.775625044248814,0.44294419956842807,2.257620713792676,2.7028989643904424,2.8331310227581525,0.4515480753844365,2.2146036147947825,2.5778731238923456,2.6388822180578018,0.42401334585728184,2.3584163323401355,2.6328779822916535,2.7233805358192655,0.42405584380145417,2.358179977041436,2.6717523678401998,2.7785321955733417,0.5184143435990152,1.9289589733525645,2.52715627769976,2.732636596620523,0.514127461786869,1.9450429598225762,2.4554836463453404,2.7833452075944334,0.45981844966500585,2.1747713705888394,2.830872469578548,3.300535849583177,0.5619634767895352,1.7794750749869763,2.4079819195821983,2.6257117255565845,4.576906334926424,0.2674266244773485,0.5091739380331082,1.615991297997404,39.99616934361648,0.29135438729953844,0.35433846198134056,0.5767727961079431,12.624088010065059,0.5308085663562757,0.4246717584406865,0.8241906149287453
I01,up,0.42732713478799383,2.340127547706797,2.8232188779730025,3.022362525173336,0.42758095311729194,2.338738413648853,2.798155851126457,2.975085139136246,0.40934847489610754,2.4429063776377804,3.0097539099581043,2.985237686063516,0.4995720027974899,2.0017134555183773,2.6429460890974097,2.678917823037904,0.4086938166565651,2.446819499694861,2.576399795795494,2.5764479606693884,0.4170787259214477,2.397628883589568,2.6751626056056543,2.7945197784757716,0.36058236625790546,2.773291468404068,2.8210144153026704,2.839539322108976,0.38298403968791206,2.6110748657173417,2.6309618779698667,2.6422354990005488,0.38814329243098233,2.5763681081203145,2.6904454833851266,2.734772956199834,0.383208933239425,2.609542506085604,2.7389811165877163,2.7847782590825663,0.4021651697840387,2.4865405438690686,2.621859362082432,2.728400339125983,0.39064148812386745,2.559891947992254,2.6802884522127117,2.7947818849254356,0.4170617541376973,2.397726451967685,2.8535324356797283,3.3051241077377043,0.4884769421259159,2.0471795365567687,2.4576014335902983,2.624514014139322,3.2508035296397284,0.35033514727672027,0.6705255470685947,1.920707826270038,10.919988369785182,0.3227560469595205,0.43573257222493056,0.8478644715697453,16.536638974415467,0.6271907269950391,0.43346502453464464,0.3987000071355947
I01,down,0.42732713478799383,2.340127547706797,2.8232188779730025,3.022362525173336,0.42758095311729194,2.338738413648853,2.798155851126457,2.975085139136246,0.40934847489610754,2.4429063776377804,3.0097539099581043,2.985237686063516,0.4995720027974899,2.0017134555183773,2.6429460890974097,2.678917823037904,0.4087011500021546,2.446775596287723,2.576401263003838,2.5764479606782693,0.4172600630086683,2.3965868978436733,2.674549115278871,2.7940125964058766,0.36058236625790546,2.773291468404068,2.8210144153026704,2.839539322108976,0.38298403968791206,2.6110748657173417,2.6309618779698667,2.6422354990005488,0.38814329243098233,2.5763681081203145,2.6904454833851266,2.734772956199834,0.383208933239425,2.609542506085604,2.7389811165877163,2.7847782590825663,0.4021651697840387,2.4865405438690686,2.621859362082432,2.728400339125983,0.3903523346104492,2.5617881880940883,2.676462970007107,2.790566749491295,0.4170617541376973,2.397726451967685,2.8535324356797283,3.3051241077377043,0.4884769421259159,2.0471795365567687,2.4576014335902983,2.624514014139322,3.2508035296397284,0.35033514727672027,0.6705255470685947,1.920707826270038,10.919988369785182,0.3227560469595205,0.43573257222493056,0.8478644715697453,16.260735393757628,0.6274030467898167,0.4108291825382402,0.2979921030429289
I02,right,0.9635634147766142,1.0378144133168785,1.566307685175877,2.3028781786864387,0.9643991930012402,1.0369150111873995,1.5667688623857146,2.3022028654057642,1.2676960489585785,0.7539490966536295,1.6730919241387028,2.3828942611426207,0.8985040012593125,1.112961098223752,2.121202602186882,2.6481816190974063,0.5267128922243283,1.8985675398545165,2.5381778472042287,2.5764449997886683,0.524032588200899,1.9082782684053778,2.4596124149123235,2.733445987441107,0.5343937995295379,1.8712791968775946,2.5261778907877215,2.8272567992271433,0.5595281073742895,1.7872203144409013,2.4164032731938505,2.636130433821222,0.529787432958936,1.8875494920950877,2.3800727131847323,2.6900236796484855,0.5570585106167133,1.7951435638114768,2.3560023493621944,2.7421846453269243,0.7168510571517632,1.3949899215790538,2.173123579393632,2.7076179308542123,0.6789848870844806,1.4727868307849068,2.05793071779212,2.6494447337889695,0.6217778082508857,1.6082915580616906,2.3905339575659177,3.227947653899257,0.6560035144136683,1.5243820772725485,2.17554896923707,2.60977552502618,6.205403123263019,0.1812053927267509,0.3733212975015125,1.3242332362868978,30.646061275067996,0.2641106581916248,0.2970440206837577,0.4626415275572573,13.7176129497316,0.3172233914699323,0.2646273153979971,0.736554114278653
I02,left,0.9635634147766142,1.0378144133168785,1.566307685175877,2.3028781786864387,0.9643991930012402,1.0369150111873995,1.5667688623857146,2.3022028654057642,1.2676960489585785,0.7539490966536295,1.6730919241387028,2.3828942611426207,0.8985040012593125,1.112961098223752,2.121202602186882,2.6481816190974063,0.5267170799791169,1.898552444966561,2.5381348997736515,2.576444973387325,0.5240963239357956,1.9080462012981128,2.459434145131714,2.7334401804166255,0.5343937995295379,1.8712791968775946,2.5261778907877215,2.8272567992271433,0.5595281073742895,1.7872203144409013,2.4164032731938505,2.636130433821222,0.529787432958936,1.8875494920950877,2.3800727131847323,2.6900236796484855,0.5570585106167133,1.7951435638114768,2.3560023493621944,2.7421846453269243,0.7168510571517632,1.3949899215790538,2.173123579393632,2.7076179308542123,0.6834295794138573,1.463208544262379,2.102786167708668,2.674637350863582,0.6217778082508857,1.6082915580616906,2.3905339575659177,3.227947653899257,0.6560035144136683,1.5243820772725485,2.17554896923707,2.60977552502618,6.205403123263019,0.1812053927267509,0.3733212975015125,1.3242332362868978,30.646061275067996,0.2641106581916248,0.2970440206837577,0.4626415275572573,16.465854215514096,0.38044581404413536,0.3758075203674177,0.6413928375666363
I02,up,0.8887509066947743,1.125174660827021,1.6701681579394627,2.45732600244894,0.8894894992529232,1.1242403657827258,1.6711542545036688,2.452894488180007,0.612904642361878,1.6315751764359598,2.3729275621130004,2.580811107104383,0.8235621351076001,1.2142374659676989,2.2437757156698153,2.670418079221627,0.4818929106899439,2.0751498472311267,2.5623354707295727,2.5764479085212537,0.4703011930951292,2.1262969660332693,2.58699495352858,2.797000101026807,0.3785574393709207,2.6416070482243867,2.7868550183759453,2.83753909368761,0.39893880249665414,2.506650127141711,2.613659398317168,2.6413073101656437,0.4729403407380687,2.114431597100396,2.498054247555102,2.69890886286986,0.48962420220360764,2.0423826998326264,2.5059208886404685,2.7546203825105726,0.4405176420119073,2.270056643890257,2.5420054440828608,2.7186146134781666,0.4552106120709377,2.1967853417357612,2.4402882078465926,2.694696316746694,0.5383568549461343,1.8575039786575314,2.5406013429668413,3.2502457222285805,0.6097053717359201,1.6401364435298547,2.2617445588537066,2.615810658191549,5.795293948966832,0.19191202396137136,0.39033124169822725,1.428320878828095,25.083705238109683,0.284216998358051,0.32084650966546074,0.5309268236769334,9.816032735040777,0.6036933111528885,0.538219437612604,1.006234348637573
I02,down,0.8887509066947743,1.125174660827021,1.6701681579394627,2.45732600244894,0.8894894992529232,1.1242403657827258,1.6711542545036688,2.452894488180007,0.612904642361878,1.6315751764359598,2.3729275621130004,2.580811107104383,0.8235621351076001,1.2142374659676989,2.2437757156698153,2.670418079221627,0.48181713046858216,2.07547622689851,2.5623646551795014,2.5764479097874684,0.4709319192058094,2.1234491849404122,2.5851407467247864,2.7960008124104854,0.3785574393709207,2.6416070482243867,2.7868550183759453,2.83753909368761,0.39893880249665414,2.506650127141711,2.613659398317168,2.6413073101656437,0.4729403407380687,2.114431597100396,2.498054247555102,2.69890886286986,0.48962420220360764,2.0423826998326264,2.5059208886404685,2.7546203825105726,0.4405176420119073,2.270056643890257,2.5420054440828608,2.7186146134781666,0.455630726807123,2.1947597937645646,2.446609602439235,2.6956870119743526,0.5383568549461343,1.8575039786575314,2.5406013429668413,3.2502457222285805,0.6097053717359201,1.6401364435298547,2.2617445588537066,2.615810658191549,5.795293948966832,0.19191202396137136,0.39033124169822725,1.428320878828095,25.083705238109683,0.284216998358051,0.32084650966546074,0.5309268236769334,12.280078516878845,0.5127112325772,0.4477705080440132,0.8604752439791618
I03,right,1.244581929963228,0.8422968555042294,1.4870834287375043,2.6208984437722984,1.245078005095329,0.8418499846608933,1.487154793950452,2.609711564236702,2.0429391145027305,0.37634251129406904,0.9826029568184502,2.145849234637626,1.538674034787781,0.5590534393064708,1.3776311546167084,2.6237807108051365,0.6046204825200777,1.6539300749983985,2.5122198239007547,2.5764478298802986,0.7929199329078487,1.2611613840160802,2.1641905482835733,2.7726546930363445,0.5497655869627418,1.8189570677288884,2.559602534608757,2.833227403304363,0.5632201845877316,1.7755045493122452,2.4593398578037977,2.639000530404928,0.5288819302153062,1.8907811798238279,2.495227890085721,2.729402840450884,0.5586491692752913,1.790032197304172,2.512139747804576,2.784473052811359,0.8809036224873318,1.1351979654441493,2.0038913547205084,2.6982678572230725,0.7694319414786001,1.2996601077911094,2.1053835430849235,2.760424761151912,0.5831799407106137,1.714736619338252,2.658193353853914,3.381564371960067,0.6825928963693114,1.4650020609926742,2.109573530587795,2.629477029229747,7.2457694396668355,0.12843862810668866,0.2680045013323917,1.3227600679781144,33.37117024096277,0.23352058701621448,0.253896634722334,0.4081431935721409,14.534953154547043,0.26302363834197995,0.23751525033608978,0.6650027596187639
I03,left,1.244581929963228,0.8422968555042294,1.4870834287375043,2.6208984437722984,1.245078005095329,0.8418499846608933,1.487154793950452,2.609711564236702,2.0429391145027305,0.37634251129406904,0.9826029568184502,2.145849234637626,1.538674034787781,0.5590534393064708,1.3776311546167084,2.6237807108051365,0.6048929818599037,1.6531849930300648,2.511901673338339,2.5764478238565305,0.7914774419203217,1.263459887844372,2.1664546036897723,2.7729990401749003,0.5497655869627418,1.8189570677288884,2.559602534608757,2.833227403304363,0.5632201845877316,1.7755045493122452,2.4593398578037977,2.639000530404928,0.5288819302153062,1.8907811798238279,2.495227890085721,2.729402840450884,0.5586491692752913,1.790032197304172,2.512139747804576,2.784473052811359,0.8809036224873318,1.1351979654441493,2.0038913547205084,2.6982678572230725,0.7557781633935615,1.323139577769546,2.103968170711518,2.7865087633912773,0.5831799407106137,1.714736619338252,2.658193353853914,3.381564371960067,0.6825928963693114,1.4650020609926742,2.109573530587795,2.629477029229747,7.2457694396668355,0.12843862810668866,0.2680045013323917,1.3227600679781144,33.37117024096277,0.23352058701621448,0.253896634722334,0.4081431935721409,10.539811304534028,0.29496880311781914,0.32800812550607394,0.9424274666678348
