reference,direction,shift_px,ssim,ssim_distance_d,predicted_jod
I01,left,38,0.1842942301684739,0.8157057698315261,3.0182266144275998
I01,left,39,0.18052497461250921,0.8194750253874907,3.022132948278288
I01,left,40,0.17822968010506038,0.8217703198949396,3.0244875697387483
I01,left,41,0.1776827937516507,0.8223172062483493,3.025045913241338
I01,left,42,0.179130841853443,0.820869158146557,3.023565283482667
I01,left,43,0.17882833612482443,0.8211716638751756,3.023875192347104
I01,left,44,0.17591010798126702,0.824089892018733,3.0268486842396713
I01,left,45,0.17305747918496017,0.8269425208150398,3.0297272159797366
I01,left,46,0.169873254877534,0.830126745122466,3.0329078182771285
I01,left,47,0.1688831468853393,0.8311168531146607,3.0338898544910062
I01,left,48,0.16777872366068253,0.8322212763393175,3.034981407498778
I01,left,49,0.16345524756325663,0.8365447524367433,3.039215532377459
I01,left,50,0.15765842292351373,0.8423415770764863,3.0447962538533746
I01,left,51,0.15417957463404727,0.8458204253659527,3.048093176545218
I01,left,52,0.15049905575893524,0.8495009442410648,3.0515391346557967
I01,left,53,0.14662610405646628,0.8533738959435337,3.0551190640820316
I01,left,54,0.14501723914736267,0.8549827608526374,3.0565924084837945
I01,left,55,0.1426355859071007,0.8573644140928993,3.058758700580568
I01,left,56,0.14166222058918387,0.8583377794108161,3.0596390085531118
I01,left,57,0.1399932271091213,0.8600067728908787,3.061141668336762
I01,left,58,0.13776013041740745,0.8622398695825926,3.0631388999213938
I01,left,59,0.1376587569529114,0.8623412430470886,3.063229206036972
I01,left,60,0.1394423942211058,0.8605576057788942,3.0616357333088056
I01,left,61,0.138789678151517,0.861210321848483,3.0622199828927315
I01,left,62,0.13465241409647782,0.8653475859035222,3.0658931993960747
I01,left,63,0.13219292744982822,0.8678070725501718,3.0680523897574288
I01,left,64,0.13119692403140085,0.8688030759685992,3.068921642102141
I01,left,65,0.12959556988873322,0.8704044301112668,3.0703130272371384
I01,left,66,0.12923486803711107,0.870765131962889,3.070625385489709
I01,left,67,0.12805323758759424,0.8719467624124058,3.0716459550413955
I01,left,68,0.1268101606927608,0.8731898393072393,3.072715157891489
I01,left,69,0.12896101518028516,0.8710389848197149,3.070862277965327
I01,left,70,0.12928089861883352,0.8707191013811665,3.0705855456407303
I01,left,71,0.12966629703964128,0.8703337029603587,3.070251734263092
I01,left,72,0.12916914953608472,0.8708308504639153,3.0706822545420485
I01,left,73,0.1250836633946078,0.8749163366053923,3.074192647471806
I01,left,74,0.12092039447993673,0.8790796055200633,3.077719782905387
I01,left,75,0.11742368753855852,0.8825763124614415,3.0806436165845854
I01,left,76,0.1169616075824838,0.8830383924175162,3.0810273800493873
I01,left,77,0.11526055912753574,0.8847394408724643,3.0824348985837764
I01,left,78,0.11046086082093244,0.8895391391790676,3.0863623919641796
I01,left,79,0.10749037890308698,0.892509621096913,3.0887608681780927
I01,left,80,0.1058831988614271,0.894116801138573,3.090048399967981
I01,left,81,0.10404243099026338,0.8959575690097367,3.0915143527951345
I01,left,82,0.10528734159551871,0.8947126584044813,3.0905239449463044
I01,left,83,0.10580565141836885,0.8941943485816312,3.0901103445763196
I01,left,84,0.1039752362805838,0.8960247637194162,3.0915676901311837
I01,left,85,0.10330152311975273,0.8966984768802473,3.092101784837202
I01,left,86,0.10464915747584845,0.8953508425241515,3.091032191547444
I01,left,87,0.10591411345882941,0.8940858865411706,3.0900237009009475
I01,left,88,0.10517307094307626,0.8948269290569237,3.090615031463508
I01,left,89,0.10517488191196805,0.894825118088032,3.0906135881972627
I01,left,90,0.10958599986763536,0.8904140001323646,3.0870713297489045
I01,left,91,0.11579914845632013,0.8842008515436799,3.081990134715511
I01,left,92,0.11674445462689521,0.8832555453731048,3.0812075186723984
I01,left,93,0.1145159686706925,0.8854840313293075,3.083048426183284
I01,left,94,0.1119111885550974,0.8880888114449026,3.0851824291001737
I01,left,95,0.10899647870571551,0.8910035212942845,3.087547845023008
I01,left,96,0.10931900241344451,0.8906809975865555,3.087287265685827
I01,left,97,0.10888611945600175,0.8911138805439982,3.0876369422778414
I01,left,98,0.10903097378280704,0.890969026217193,3.087519988898335
I01,left,99,0.10905340874684254,0.8909465912531574,3.0875018700162498
I01,left,100,0.10699339508173639,0.8930066049182637,3.089159767535744
I01,up,1,0.5325110204082673,0.46748897959173275,2.355355535929748
I01,up,2,0.22148271604546443,0.7785172839545356,2.9769250390318707
I01,up,3,0.23951291271095224,0.7604870872890478,2.9549870857555174
I01,up,4,0.23148811679692086,0.7685118832030792,2.964912682101759
I01,up,5,0.2200606129010068,0.7799393870989932,2.9786003134141383
I01,up,6,0.2101644796925968,0.7898355203074032,2.9900416526466973
I01,up,7,0.21802813032322663,0.7819718696767733,2.9809809499338344
I01,up,8,0.21196562474481037,0.7880343752551896,2.98798719999321
I01,up,9,0.21292563062563666,0.7870743693743634,2.986887140191662
I01,up,10,0.20605099911171373,0.7939490008882862,2.9946876796850947
I01,up,11,0.20210433057943045,0.7978956694205696,2.999085789466668
I01,up,12,0.19749492943299826,0.8025050705670017,3.0041495840467656
I01,up,13,0.19876962760757103,0.801230372392429,3.002757022059069
I01,up,14,0.20204242751244034,0.7979575724875596,2.9991543128679927
I01,up,15,0.18414373646691792,0.815856263533082,3.018383531599678
I01,up,16,0.18092204351386248,0.8190779564861375,3.0217237680838718
I01,up,17,0.175661628443838,0.824338371556162,3.0271005217650115
I01,up,18,0.16627495494308245,0.8337250450569176,3.036461120713259
I01,up,19,0.18854970985964026,0.8114502901403597,3.0137565130140596
I01,up,20,0.24131130159170538,0.7586886984082946,2.952726486418994
I01,up,21,0.23187898402126383,0.7681210159787362,2.9644352962156555
I01,up,22,0.17489271781105395,0.825107282188946,3.0278784891831343
I01,up,23,0.15940303405187484,0.8405969659481252,3.043128186619005
I01,up,24,0.15568431134823035,0.8443156886517696,3.04667189989848
I01,up,25,0.16347229651428313,0.8365277034857168,3.039198957011366
I01,up,26,0.16715766057035622,0.8328423394296438,3.035593446904631
I01,up,27,0.17274288259047002,0.82725711740953,3.030042977815312
I01,up,28,0.17502246015276218,0.8249775398472379,3.0277473599682585
I01,up,29,0.1671616788371003,0.8328383211628997,3.0355894911464913
I01,up,30,0.16885593242567964,0.8311440675743204,3.0339168007602515
I01,up,31,0.16442558575781863,0.8355744142421814,3.038270625914568
I01,up,32,0.16066049581169345,0.8393395041883065,3.041919769263303
I01,up,33,0.15964708807404906,0.840352911925951,3.0428940535457265
I01,up,34,0.16596272193629932,0.8340372780637006,3.0367674175429036
I01,up,35,0.16389606379966162,0.8361039362003384,3.0387866538611696
I01,up,36,0.15570685464741346,0.8442931453525866,3.0466505517831424
I01,up,37,0.15594094619184948,0.8440590538081505,3.046428774676045
I01,up,38,0.15840717517237152,0.8415928248276285,3.0440815599570668
I01,up,39,0.17169528747958177,0.8283047125204183,3.0310920411009032
I01,up,40,0.18759040393027565,0.8124095960697244,3.014769783202399
I01,up,41,0.1893968736853842,0.8106031263146158,3.0128589775833
I01,up,42,0.18103304296567568,0.8189669570343243,3.021609285182545
I01,up,43,0.1588402832669684,0.8411597167330316,3.043667324303928
I01,up,44,0.13937194584623883,0.8606280541537612,3.061698854568321
I01,up,45,0.13911183510535488,0.8608881648946451,3.0619317808503297
I01,up,46,0.14564341661612512,0.8543565833838749,3.056019933910612
I01,up,47,0.14821382098938948,0.8517861790106105,3.053657166085153
I01,up,48,0.14924548584966385,0.8507545141503361,3.0527030200704095
I01,up,49,0.14871984114310935,0.8512801588568907,3.053189585878215
I01,up,50,0.14618187398839697,0.853818126011603,3.0555266807185744
I01,up,51,0.14384110531597305,0.856158894684027,3.057664383833864
I01,up,52,0.14420157196352826,0.8557984280364718,3.0573362957404333
I01,up,53,0.15042492301546434,0.8495750769845356,3.051608101612298
I01,up,54,0.14892738744801343,0.8510726125519865,3.052997573323011
I01,up,55,0.15095036454352107,0.8490496354564789,3.0511188996923115
I01,up,56,0.1440672442343263,0.8559327557656737,3.057458604640936
I01,up,57,0.1400325446579493,0.8599674553420507,3.061106367338491
I01,up,58,0.1420107772625717,0.8579892227374283,3.059324110301615
I01,up,59,0.14541087503500583,0.8545891249649942,3.0562326743013726
I01,up,60,0.1560586708253903,0.8439413291746097,3.046317176450291
I01,up,61,0.15070122364711783,0.8492987763528822,3.0513509661788687
I01,up,62,0.15686930943694288,0.8431306905630571,3.0455475134111696
I01,up,63,0.1584715608117237,0.8415284391882762,3.044020018332386
I01,up,64,0.14143673781092514,0.8585632621890749,3.059842518637466
I01,up,65,0.1266971474682359,0.8733028525317641,3.072812138469253
I01,up,66,0.12801397169891726,0.8719860283010827,3.0716797981621635
I01,up,67,0.13378593771245595,0.866214062287544,3.0666559492745966
I01,up,68,0.13179659958605808,0.868203400413942,3.068398635082997
I01,up,69,0.13180389893682612,0.8681961010631739,3.0683922623576327
I01,up,70,0.13385648306813336,0.8661435169318666,3.06659393321514
I01,up,71,0.13396379369783026,0.8660362063021697,3.066499568371426
I01,up,72,0.12841677850387076,0.8715832214961292,3.0713324048115567
I01,up,73,0.13300155198314073,0.8669984480168593,3.067344494130136
I01,up,74,0.13867072453611487,0.8613292754638852,3.0623263190310768
I01,up,75,0.1426836587734416,0.8573163412265584,3.058715148049025
I01,up,76,0.13830865145196666,0.8616913485480333,3.0626497217487794
I01,up,77,0.12680321043545667,0.8731967895645434,3.0727211232300053
I01,up,78,0.12741367823872563,0.8725863217612744,3.072196623926434
I01,up,79,0.1312119863464657,0.8687880136535343,3.068908518607384
I01,up,80,0.13399101611703573,0.8660089838829643,3.0664756245290166
I01,up,81,0.130774051409168,0.869225948590832,3.0692898073133827
I01,up,82,0.1291784844795649,0.8708215155204351,3.0706741773907673
I01,up,83,0.1438945101675688,0.8561054898324312,3.057615801400531
I01,up,84,0.14072814814274934,0.8592718518572506,3.060481042315905
I01,up,85,0.12468701281961832,0.8753129871803816,3.0745308601110066
I01,up,86,0.11100399261171842,0.8889960073882816,3.085921196507087
I01,up,87,0.11673000447122989,0.8832699955287702,3.0812195010025194
I01,up,88,0.12222645550584207,0.8777735444941579,3.0766186870143883
I01,up,89,0.12115438984340898,0.878845610156591,3.0775228710625715
