reference,direction,shift_px,rmse_d,jod_rmse,psnr_d,jod_psnr,ssim_d,jod_ssim,ssim,ms_ssim_d,jod_ms_ssim,iw_ssim_d,jod_iw_ssim,vif_d,jod_vif,fsim_d,jod_fsim,srsim_d,jod_srsim,gmsd_d,jod_gmsd,ms_gmsd_d,jod_ms_gmsd,vsi_d,jod_vsi,mdsi_d,jod_mdsi,haarpsi_d,jod_haarpsi,dss_d,jod_dss,lpips_d,jod_lpips,dists_d,jod_dists,pieapp_d,jod_pieapp
I01,right,1,18.16623184665478,1.9344594592518929,0.04358153124883105,1.9363395700274806,0.15870320796966553,1.0059001637305327,0.8412967920303345,0.0822327733039856,1.4191368794080783,0.07671648263931274,2.101369983209037,0.7492548823356628,2.106490267487834,0.08324724435806274,2.257620713792676,0.03760808706283569,2.2146036147947825,0.11607355624437332,2.3584163323401355,0.11885172128677368,2.358179977041436,0.022288382053375244,1.9289589733525645,0.343270868062973,1.9851607827208582,0.2708890438079834,2.1747713705888394,0.1686398983001709,1.7794750749869763,0.07610613107681274,0.2674266244773485,0.01816415786743164,0.29135438729953844,0.2327376753091812,0.42722333991940886
I01,right,2,25.699055837299728,2.5257981919782724,0.05016943456518717,2.518938560927943,0.3977288007736206,2.1232640238513207,0.6022711992263794,0.21815764904022217,2.436947463159867,0.22671866416931152,2.5657153932290164,0.860745906829834,2.5674491963663177,0.15982788801193237,2.7028989643904424,0.07691645622253418,2.5778731238923456,0.17362435162067413,2.6328779822916535,0.17315953969955444,2.6717523678401998,0.047789692878723145,2.52715627769976,0.4041297733783722,2.4848754561679924,0.4282227158546448,2.830872469578548,0.3677747845649719,2.4079819195821983,0.13603705167770386,0.5091739380331082,0.029470205307006836,0.35433846198134056,0.22610804438591003,0.41520773608301187
I01,right,3,27.572872671211265,2.6401723794652545,0.05175672852870901,2.62795701078659,0.5007615685462952,2.452009542776728,0.49923843145370483,0.2951829433441162,2.59326660798014,0.3455687165260315,2.5759412073557932,0.8937064409255981,2.658968318029017,0.20950597524642944,2.787576190022037,0.10890692472457886,2.6285174925818637,0.19461455941200256,2.6763297549853653,0.19716112315654755,2.7277167135985305,0.06550252437591553,2.6550888660081,0.43302133679389954,2.633839929415458,0.5256150960922241,3.0955953991930656,0.4412996172904968,2.5023295069752294,0.18311119079589844,0.7351653274820797,0.02398073673248291,0.3223726585184035,0.2832486629486084,0.5213310351992645
I01,right,4,29.213276259756444,2.730932079153553,0.05313723626128267,2.7130912153953632,0.5346702337265015,2.5417969381973915,0.46532976627349854,0.35251909494400024,2.6401666800826966,0.43325668573379517,2.576394736242703,0.9141229391098022,2.70658927674765,0.24040746688842773,2.811860757029308,0.12522488832473755,2.63603366885161,0.20932143926620483,2.697275752531819,0.2127637416124344,2.750506047163401,0.07614374160766602,2.6906396061262967,0.450236052274704,2.7004228395092444,0.5713526010513306,3.1924467039916387,0.5075583457946777,2.557343089075175,0.21001656353473663,0.8768597328085244,0.04118752479553223,0.43192430604193655,0.18818071484565735,0.3480690115290458
I01,right,5,30.757234156379564,2.8089165757195866,0.05443109123598884,2.7850828944971586,0.5653374195098877,2.615856839990311,0.4346625804901123,0.3932180404663086,2.657071190612859,0.4907045364379883,2.576435802096128,0.9270056486129761,2.733395497889102,0.25886696577072144,2.8209288520399696,0.12502431869506836,2.6359725845080675,0.21785134077072144,2.7067803041218172,0.22132612764835358,2.75987575104428,0.08788764476776123,2.712438942974586,0.46145784854888916,2.736386988216948,0.5890368819236755,3.2259398949162055,0.5649987459182739,2.5897760444972846,0.24822942912578583,1.0903090567913862,0.042870521545410156,0.4441630871310784,0.2893463373184204,0.5329822882126555
I01,right,6,32.13877867698049,2.8729877202046596,0.05558577756083432,2.843301392610328,0.5917714834213257,2.6745685901929797,0.4082285165786743,0.4341636300086975,2.666798184928929,0.5370595455169678,2.5764442677377204,0.9353084564208984,2.749431209977128,0.2688177227973938,2.82466482714176,0.11971944570541382,2.634122921585572,0.22400952875614166,2.7126582393863825,0.22745807468891144,2.7655080211568936,0.09535396099090576,2.720709306756362,0.4662880301475525,2.7502642954196883,0.5983866453170776,3.2428252497567733,0.5923863649368286,2.6016127100260746,0.2685040831565857,1.2077029083003548,0.04230111837387085,0.43999080431386467,0.32290977239608765,0.5981388122724564
I01,right,7,33.19301196615921,2.9184722949104964,0.056465690303747776,2.884057683563408,0.6095620393753052,2.7115508839782647,0.3904379606246948,0.4615963101387024,2.6708426480249523,0.5775496363639832,2.57644665721065,0.9409843683242798,2.759859882813827,0.2787920832633972,2.8277738548838443,0.11882251501083374,2.633760773610561,0.2282024323940277,2.716246194401825,0.23285053670406342,2.769825561628771,0.10020655393600464,2.724578622593981,0.4703061282634735,2.761127862102308,0.6034494638442993,3.2517392968333105,0.5979535579681396,2.6037824002642083,0.2905690670013428,1.337290926956292,0.04999643564224243,0.49914404949121194,0.42169851064682007,0.7982640146057455
I01,right,8,33.87961050368486,2.946588461373582,0.05703845391463771,2.9089907983100383,0.6189718842506409,2.7303208302958497,0.38102811574935913,0.4861525297164917,2.6733708237550484,0.6083114147186279,2.576447370341378,0.944948673248291,2.7668950903666643,0.285996675491333,2.829685357899507,0.12199980020523071,2.6349761928430553,0.2299673706293106,2.717664271168178,0.23728403449058533,2.7729821243421666,0.10590022802352905,2.7280194997051694,0.47155505418777466,2.7643835027412673,0.6108858585357666,3.2645474324494366,0.6063646078109741,2.606921470692896,0.3018748164176941,1.404012385588989,0.05578255653381348,0.5476100361819395,0.3503899574279785,0.6526761277475347
I01,right,9,34.401671531218014,2.9672008884220835,0.05747386759199921,2.927134140752483,0.6236191987991333,2.7393939865996835,0.3763808012008667,0.5046220421791077,2.6747815331580664,0.6308225393295288,2.5764476303869532,0.9476565718650818,2.7715857934691646,0.29502880573272705,2.8317454688117323,0.126969575881958,2.636540852860321,0.2342570722103119,2.7208987546620516,0.24191206693649292,2.7759392793596183,0.11083817481994629,2.7302717182924425,0.47609755396842957,2.775759192688104,0.6217561960220337,3.2826753595588585,0.6305506825447083,2.61508623483428,0.3232918381690979,1.5301988930483372,0.04948991537094116,0.4950652876886754,0.4680766463279724,0.8952260600592185
I01,right,10,34.92941180438214,2.987384625601627,0.057914022384950276,2.944784700345861,0.6289495229721069,2.7496427559420225,0.37105047702789307,0.5214757323265076,2.6757900945958726,0.6480059623718262,2.5764477488892634,0.9501932859420776,2.775896884788784,0.3020920157432556,2.8331310227581525,0.13773798942565918,2.6388822180578018,0.2378336638212204,2.7233805358192655,0.2464398741722107,2.7785321955733417,0.11794012784957886,2.732636596620523,0.4810953140258789,2.7874672905084954,0.6328911185264587,3.300535849583177,0.6686888337135315,2.6257117255565845,0.33796852827072144,1.615991297997404,0.059079647064208984,0.5767727961079431,0.5445513129234314,1.05681958375171
